S.No,Topic,Subtopic,Level,Question,question_image,Options (JSON),Solution (Correct Option Number),Explanation,image_url
1,Operating Systems,Process Management,easy,What is a process?,no image,"{""1"": ""A program in execution"", ""2"": ""A program in secondary memory"", ""3"": ""A static part of an OS"", ""4"": ""A type of hardware""}",1,"A process is a program in execution, consisting of the program code and its current activity.",
2,Operating Systems,Process Management,medium,Which of the following is not a state of a process?,no image,"{""1"": ""New"", ""2"": ""Running"", ""3"": ""Waiting"", ""4"": ""Blocked-Open""}",4,"Standard process states are New, Ready, Running, Waiting, and Terminated.",
3,Operating Systems,Scheduling,hard,Which scheduling algorithm is non-preemptive?,no image,"{""1"": ""Round Robin"", ""2"": ""FCFS"", ""3"": ""SRTF"", ""4"": ""Priority (Preemptive)""}",2,"FCFS is non-preemptive; once a process starts, it runs until it finishes or blocks.",
4,Operating Systems,Deadlock,easy,Which is NOT a necessary condition for deadlock?,no image,"{""1"": ""Mutual Exclusion"", ""2"": ""Hold and Wait"", ""3"": ""No Preemption"", ""4"": ""Circular Wait Removal""}",4,"The four conditions are Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait.",
5,Operating Systems,Memory Management,medium,What is paging?,no image,"{""1"": ""CPU speedup"", ""2"": ""Non-contiguous memory allocation scheme"", ""3"": ""Tape storage"", ""4"": ""Deleting files""}",2,Paging allows the physical address space of a process to be non-contiguous.,
6,Operating Systems,Memory Management,hard,Belady's Anomaly is associated with which algorithm?,no image,"{""1"": ""LRU"", ""2"": ""Optimal"", ""3"": ""FIFO"", ""4"": ""MRU""}",3,Belady's Anomaly occurs in FIFO where more frames can cause more page faults.,
7,Operating Systems,File Systems,easy,What does 'inode' stand for?,no image,"{""1"": ""Index node"", ""2"": ""Input node"", ""3"": ""Information node"", ""4"": ""Internal node""}",1,An inode is a data structure in Unix-style file systems describing a file-system object.,
8,Operating Systems,Threads,medium,Major advantage of threads over processes?,no image,"{""1"": ""Lower context switch overhead"", ""2"": ""Separate memory"", ""3"": ""More secure"", ""4"": ""Hardware independence""}",1,Threads share memory space and are lighter than processes.,
9,Operating Systems,Process Management,hard,What is a zombie process?,no image,"{""1"": ""Never dies"", ""2"": ""Finished execution but has entry in process table"", ""3"": ""Uses 100% CPU"", ""4"": ""System process""}",2,A zombie process has finished but remains in the table for the parent to read its status.,
10,Operating Systems,Deadlock,easy,Banker's algorithm is for:,no image,"{""1"": ""Prevention"", ""2"": ""Avoidance"", ""3"": ""Detection"", ""4"": ""Recovery""}",2,Banker's algorithm is a deadlock avoidance algorithm testing for safety.,
11,Operating Systems,Scheduling,medium,Round Robin is most suitable for:,no image,"{""1"": ""Batch"", ""2"": ""Real-time"", ""3"": ""Time-sharing"", ""4"": ""Embedded""}",3,Round Robin provides fair CPU time in time-sharing systems.,
12,Operating Systems,Memory Management,hard,What is fragmentation?,no image,"{""1"": ""Disk division"", ""2"": ""Unused memory that cannot be allocated"", ""3"": ""Virus"", ""4"": ""Encryption""}",2,Fragmentation refers to wasted memory space inside or outside allocated blocks.,
13,Operating Systems,Process Management,easy,Context switching is done by:,no image,"{""1"": ""User"", ""2"": ""Compiler"", ""3"": ""OS Kernel"", ""4"": ""Shell""}",3,The OS kernel performs context switching to move between processes.,
14,Operating Systems,Memory Management,medium,Virtual memory is typically implemented by:,no image,"{""1"": ""Demand Paging"", ""2"": ""Buses"", ""3"": ""Registers"", ""4"": ""I/O""}",1,Virtual memory is commonly implemented using demand paging.,
15,Operating Systems,File Systems,hard,The 'root' directory in Linux is:,no image,"{""1"": ""/root"", ""2"": ""/"", ""3"": ""~"", ""4"": "".""}",2,The root directory in Linux is represented by '/'.,
16,Operating Systems,Threads,easy,Which of the following do threads share?,no image,"{""1"": ""Stack"", ""2"": ""Registers"", ""3"": ""Address Space"", ""4"": ""Program Counter""}",3,Threads of the same process share the address space (code and data).,
17,Operating Systems,Process Management,medium,What is a 'Race Condition'?,no image,"{""1"": ""Concurrent data access where result depends on order"", ""2"": ""Competitive programming"", ""3"": ""Fast code"", ""4"": ""Hardware failure""}",1,A race condition occurs when outcome depends on the timing of concurrent threads.,
18,DBMS,Relational Model,hard,SQL stands for:,no image,"{""1"": ""Structured Query Language"", ""2"": ""Strong QL"", ""3"": ""Simple QL"", ""4"": ""Sequential QL""}",1,SQL is Structured Query Language for relational databases.,
19,DBMS,Normalization,easy,Which normal form deals with partial functional dependencies?,no image,"{""1"": ""1NF"", ""2"": ""2NF"", ""3"": ""3NF"", ""4"": ""BCNF""}",2,2NF removes partial functional dependencies.,
20,DBMS,SQL,medium,Command to remove all records but keep structure?,no image,"{""1"": ""DELETE"", ""2"": ""DROP"", ""3"": ""TRUNCATE"", ""4"": ""REMOVE""}",3,TRUNCATE removes all rows but keeps the table structure.,
21,DBMS,Transactions,hard,What does 'A' in ACID stand for?,no image,"{""1"": ""Atomicity"", ""2"": ""Availability"", ""3"": ""Access"", ""4"": ""Authority""}",1,Atomicity ensures 'all or nothing' transaction execution.,
,,,,,,,,,
23,DBMS,Relational Model,medium,A primary key must be:,no image,"{""1"": ""Unique and Not Null"", ""2"": ""Unique/Nullable"", ""3"": ""Not Unique"", ""4"": ""Any integer""}",1,Primary keys must be unique and non-null.,
24,DBMS,SQL,hard,JOIN operation is used to:,no image,"{""1"": ""Combine rows"", ""2"": ""Delete duplicates"", ""3"": ""Create table"", ""4"": ""Update data""}",1,JOIN combines rows from tables based on related columns.,
25,DBMS,Indexing,easy,Purpose of an index?,no image,"{""1"": ""Security"", ""2"": ""Retrieval speed"", ""3"": ""Storage reduction"", ""4"": ""ACID""}",2,Indexes speed up data retrieval.,
26,DBMS,Normalization,medium,Transitive dependency is removed in:,no image,"{""1"": ""1NF"", ""2"": ""2NF"", ""3"": ""3NF"", ""4"": ""4NF""}",3,3NF removes transitive dependencies.,
27,DBMS,Transactions,hard,Isolation in ACID means:,no image,"{""1"": ""Database separate"", ""2"": ""Transactions don't interfere"", ""3"": ""Hidden data"", ""4"": ""Hardware isolation""}",2,Isolation ensures concurrent transactions don't interfere.,
28,DBMS,Relational Model,easy,What is a Foreign Key?,no image,"{""1"": ""Non-unique key"", ""2"": ""Refers to PK of another table"", ""3"": ""International key"", ""4"": ""Backup""}",2,A foreign key refers to a primary key in another table.,
29,DBMS,SQL,medium,Clause used to filter records?,no image,"{""1"": ""GROUP BY"", ""2"": ""WHERE"", ""3"": ""ORDER BY"", ""4"": ""SELECT""}",2,WHERE filters records based on conditions.,
30,DBMS,ER Model,hard,A 'Weak Entity' has:,no image,"{""1"": ""No primary key"", ""2"": ""Few attributes"", ""3"": ""No connection"", ""4"": ""Null values""}",1,Weak entities depend on owner entities for identification.,
31,DBMS,SQL,easy,HAVING clause is used with:,no image,"{""1"": ""WHERE"", ""2"": ""GROUP BY"", ""3"": ""ORDER BY"", ""4"": ""INSERT""}",2,HAVING filters groups created by GROUP BY.,
32,DBMS,Indexing,medium,B-Tree index is good for:,no image,"{""1"": ""Range queries"", ""2"": ""Exact only"", ""3"": ""Random"", ""4"": ""Small tables""}",1,B-Trees are efficient for range and ordered queries.,
33,DBMS,Relational Model,hard,Cardinality refers to:,no image,"{""1"": ""Columns"", ""2"": ""Rows/Tuples"", ""3"": ""Tables"", ""4"": ""Row size""}",2,Cardinality is the number of tuples in a relation.,
34,DBMS,Transactions,easy,Durability ensures:,no image,"{""1"": ""Accuracy"", ""2"": ""Persistence after failure"", ""3"": ""Accessibility"", ""4"": ""Encryption""}",2,Durability ensures committed changes survive failures.,
35,Networking,OSI Model,medium,OSI model layers?,no image,"{""1"": ""5"", ""2"": ""6"", ""3"": ""7"", ""4"": ""8""}",3,OSI has 7 layers.,
36,Networking,TCP/IP,hard,IP protocol layer?,no image,"{""1"": ""Data Link"", ""2"": ""Network"", ""3"": ""Transport"", ""4"": ""Session""}",2,IP is at the Network Layer.,
37,Networking,Protocols,easy,HTTP port?,no image,"{""1"": ""21"", ""2"": ""23"", ""3"": ""80"", ""4"": ""443""}",3,HTTP uses port 80.,
38,Networking,OSI Model,medium,End-to-end communication layer?,no image,"{""1"": ""Physical"", ""2"": ""Network"", ""3"": ""Transport"", ""4"": ""Presentation""}",3,Transport layer handles end-to-end communication.,
39,Networking,IP Addressing,hard,IPv4 address bits?,no image,"{""1"": ""32"", ""2"": ""64"", ""3"": ""128"", ""4"": ""256""}",1,IPv4 uses 32 bits.,
40,Networking,TCP/IP,easy,TCP is:,no image,"{""1"": ""Connectionless"", ""2"": ""Connection-oriented"", ""3"": ""Unreliable"", ""4"": ""Broadcast""}",2,TCP is connection-oriented.,
41,Networking,Protocols,medium,DNS purpose?,no image,"{""1"": ""File transfer"", ""2"": ""Name to IP mapping"", ""3"": ""Emails"", ""4"": ""Security""}",2,DNS maps domain names to IP addresses.,
42,Networking,Devices,hard,Switch layer?,no image,"{""1"": ""Physical"", ""2"": ""Data Link"", ""3"": ""Network"", ""4"": ""Transport""}",2,Layer 2 switches use MAC addresses.,
43,Networking,OSI Model,easy,Routing layer?,no image,"{""1"": ""Data Link"", ""2"": ""Network"", ""3"": ""Transport"", ""4"": ""Application""}",2,Network layer handles routing.,
44,Networking,IP Addressing,medium,IPv6 address size?,no image,"{""1"": ""32"", ""2"": ""64"", ""3"": ""128"", ""4"": ""256""}",3,IPv6 uses 128 bits.,
45,Networking,Protocols,hard,SMTP is for:,no image,"{""1"": ""Web"", ""2"": ""Files"", ""3"": ""Sending Email"", ""4"": ""Management""}",3,SMTP sends email.,
46,Networking,Devices,easy,Router layer?,no image,"{""1"": ""Data Link"", ""2"": ""Network"", ""3"": ""Transport"", ""4"": ""Physical""}",2,Routers work at Layer 3.,
47,Networking,OSI Model,medium,Physical layer deals with:,no image,"{""1"": ""Bits"", ""2"": ""Routing"", ""3"": ""Addressing"", ""4"": ""Encryption""}",1,Physical layer handles raw bit transmission.,
48,Networking,TCP/IP,hard,UDP stands for:,no image,"{""1"": ""Universal"", ""2"": ""User Datagram Protocol"", ""3"": ""Unified"", ""4"": ""Data Port""}",2,UDP is User Datagram Protocol.,
49,Networking,IP Addressing,easy,Multicasting IPv4 class?,no image,"{""1"": ""A"", ""2"": ""B"", ""3"": ""C"", ""4"": ""D""}",4,Class D is for multicast.,
50,Networking,Protocols,medium,MAC to IP translation (Reverse)?,no image,"{""1"": ""ARP"", ""2"": ""RARP"", ""3"": ""DNS"", ""4"": ""DHCP""}",2,RARP maps MAC to IP.,
